Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
28,9,1981,21.28,14.06,79.25,1.80,16.41,0.00,1.48,0.42900020618598034
29,9,1981,25.22,15.50,83.77,1.87,17.99,0.00,2.41,0.40336015582311724
30,9,1981,26.74,15.67,77.99,1.84,18.18,0.00,2.57,0.5823437547805681
1,10,1981,21.10,17.29,70.02,1.39,10.82,0.52,4.96,0.670945113080206
2,10,1981,20.82,17.17,70.30,1.08,11.48,0.12,4.71,0.6561241264904563
3,10,1981,20.89,16.83,89.04,1.17,4.71,4.43,6.20,0.24041872264126263
4,10,1981,21.35,17.00,87.18,1.08,7.70,1.66,6.32,0.28708510121325603
5,10,1981,20.40,17.30,86.25,2.29,9.83,22.30,6.67,0.3005534997192443
6,10,1981,19.74,13.57,78.64,1.89,12.24,0.61,3.23,0.41176205686652945
7,10,1981,23.16,12.02,74.47,2.40,17.49,0.00,3.63,0.5413835140108736
8,10,1981,22.81,15.15,82.52,1.77,13.06,0.17,2.80,0.39322989734139413
9,10,1981,22.80,15.35,76.28,2.21,16.56,0.14,4.49,0.5360466440393834
10,10,1981,24.17,14.56,78.86,1.90,17.02,0.01,4.40,0.493844598742019
11,10,1981,23.39,15.00,82.47,1.58,16.97,0.00,5.34,0.4015896423056924
12,10,1981,24.34,16.07,84.38,1.43,15.92,0.00,5.42,0.38048672812677387
13,10,1981,26.32,16.09,80.71,1.51,16.31,0.00,5.44,0.5067790061911781
14,10,1981,24.76,14.59,79.59,1.34,16.46,0.02,4.50,0.48816870558827796
15,10,1981,22.54,12.40,78.20,1.15,16.45,0.00,3.20,0.4547701468824972
16,10,1981,18.36,12.66,91.10,0.57,6.69,0.88,2.77,0.15913009142785284
17,10,1981,20.92,15.93,89.40,1.00,8.12,6.32,5.85,0.22710411803155006
18,10,1981,20.57,14.31,88.73,1.41,8.87,3.53,3.01,0.2283933149887869
19,10,1981,24.64,12.79,82.12,1.75,15.22,0.00,3.18,0.40925541265995635
20,10,1981,26.83,13.79,77.13,1.91,15.14,0.00,2.95,0.5839722798878291
