Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
1,6,2006,27.53,13.21,64.24,1.50,29.77,0.00,3.61,0.9290773966085997
2,6,2006,25.15,14.00,64.38,0.87,31.56,0.00,6.26,0.8539532620957762
3,6,2006,23.77,13.07,61.59,0.74,32.04,0.00,6.77,0.8541643477477532
4,6,2006,20.25,12.25,65.53,0.65,30.99,0.01,4.57,0.6550276612751307
5,6,2006,19.74,12.41,77.38,0.57,13.38,1.64,4.90,0.42320286554167996
6,6,2006,19.52,13.07,65.45,1.33,21.12,0.00,3.44,0.652017585114175
7,6,2006,22.61,11.38,70.04,1.16,30.94,0.00,3.11,0.6126950837851353
8,6,2006,20.13,13.63,76.76,0.54,15.77,0.11,4.47,0.45524691593730626
9,6,2006,19.92,14.52,63.13,0.65,19.78,0.00,5.39,0.7337280364933796
10,6,2006,21.40,13.60,61.37,0.73,28.90,0.01,5.44,0.7931412976708689
11,6,2006,27.92,12.56,59.59,0.76,31.25,0.00,6.71,1.0542083260930408
12,6,2006,29.56,15.21,64.16,0.68,31.33,0.00,7.37,1.051131366079811
13,6,2006,27.24,15.30,63.18,0.58,31.64,0.00,8.84,0.9857475166224257
14,6,2006,30.06,14.73,56.67,0.69,30.49,0.00,7.08,1.285518080333304
15,6,2006,26.80,15.57,58.94,0.57,30.59,0.00,8.42,1.0865837156916043
16,6,2006,25.31,14.80,65.18,1.15,23.44,1.00,6.57,0.8548755883774295
17,6,2006,22.34,13.89,69.39,0.71,30.91,0.00,4.55,0.6560412287839401
18,6,2006,19.08,15.45,74.35,0.48,22.73,0.16,4.63,0.508353349279959
19,6,2006,22.40,15.07,66.80,0.59,30.06,0.00,6.41,0.7340734529278432
20,6,2006,19.06,13.86,58.57,0.46,21.55,0.00,5.23,0.7850510877965393
21,6,2006,19.74,14.24,73.78,0.46,12.65,0.59,7.65,0.5145129957858303
22,6,2006,18.82,15.15,72.81,2.44,16.23,6.81,4.77,0.52948760965375
23,6,2006,19.09,14.23,66.17,2.08,19.65,0.00,5.38,0.648247667706106
24,6,2006,19.58,12.72,66.22,1.62,20.27,0.14,5.09,0.6331608399498581
25,6,2006,24.71,11.59,58.61,1.63,31.96,0.00,8.25,0.9268381083844075
26,6,2006,29.62,13.56,52.60,1.16,31.84,0.00,6.75,1.3520807719318404
27,6,2006,29.34,16.52,43.01,0.76,31.13,0.00,5.30,1.6996197141992484
28,6,2006,32.20,16.13,49.83,0.65,31.10,0.00,5.05,1.666200210346053
29,6,2006,35.32,16.89,38.10,0.69,31.68,0.00,4.11,2.3667947950833184
30,6,2006,33.45,17.25,42.64,0.65,31.78,0.00,3.98,2.044068656425215
1,7,2006,30.12,18.06,50.83,0.54,30.53,0.00,3.92,1.5597082900495032
2,7,2006,26.54,17.34,70.36,0.48,29.84,0.03,3.24,0.8077081797301291
3,7,2006,27.06,15.88,65.38,0.46,30.23,0.00,5.13,0.931677194139465
4,7,2006,22.37,14.65,61.22,0.35,28.07,0.00,7.38,0.8476231217526444
5,7,2006,23.53,14.17,58.41,0.40,31.36,0.00,8.94,0.9393299119131655
6,7,2006,28.84,14.61,48.51,0.53,31.55,0.00,7.88,1.4499029478618153
7,7,2006,31.98,16.63,43.37,0.56,31.09,0.00,6.51,1.8807282633400104
8,7,2006,34.71,18.23,40.67,0.60,30.78,0.00,4.72,2.262611663139778
9,7,2006,34.90,20.38,34.42,0.58,30.62,0.00,5.35,2.6184561040850505
10,7,2006,28.37,20.87,50.04,0.41,25.78,0.00,3.98,1.581070754483375
11,7,2006,25.85,16.25,64.99,0.36,28.04,0.00,6.69,0.906631970555694
12,7,2006,21.49,15.54,55.19,0.34,26.85,0.00,7.01,0.9697771535151103
13,7,2006,23.27,13.70,56.59,0.40,30.06,0.00,5.41,0.9600975595599504
14,7,2006,26.35,13.24,61.50,0.42,30.94,0.00,5.90,0.9534650212222846
15,7,2006,25.31,15.57,69.57,0.36,26.50,0.00,5.47,0.7600939285515402
16,7,2006,26.63,15.21,58.67,0.41,30.59,0.01,8.49,1.0781374926189324
17,7,2006,34.10,16.16,50.03,0.53,30.59,0.00,7.65,1.7953974658202874
18,7,2006,37.84,20.55,32.21,0.60,30.51,0.00,6.83,3.046056756976906
19,7,2006,30.76,18.47,53.69,0.44,28.81,0.00,5.54,1.518354423677546
20,7,2006,25.03,15.92,63.58,0.31,30.56,0.00,9.14,0.9073057973512519
21,7,2006,22.58,15.28,61.89,0.31,29.67,0.00,7.65,0.8527468429807061
