Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
8,5,1981,15.49,10.02,81.53,2.73,13.13,16.28,5.59
9,5,1981,14.52,10.00,71.95,3.04,18.78,3.80,7.02
10,5,1981,15.95,9.75,78.21,2.42,14.65,3.86,6.40
11,5,1981,16.55,9.03,75.34,2.97,25.75,1.58,3.24
12,5,1981,17.19,9.89,72.75,2.58,22.53,0.00,2.63
13,5,1981,18.84,8.48,75.01,2.79,27.49,0.00,3.19
14,5,1981,18.53,11.58,76.21,2.01,19.10,0.02,2.96
15,5,1981,17.95,11.70,80.23,1.68,19.17,0.72,4.78
16,5,1981,16.62,11.74,81.40,1.18,10.70,0.68,2.90
17,5,1981,16.41,10.10,88.54,0.83,11.74,0.29,3.82
18,5,1981,17.90,12.72,84.72,1.73,20.80,0.10,4.06
19,5,1981,17.93,10.16,88.82,1.05,14.20,0.80,4.84
20,5,1981,18.57,12.85,75.95,2.09,24.97,0.57,4.60
21,5,1981,17.76,11.70,74.52,1.79,21.76,0.45,4.03
22,5,1981,22.01,9.65,67.11,2.05,29.77,0.01,5.12
23,5,1981,24.82,10.68,70.15,1.69,29.76,0.00,4.96
24,5,1981,21.68,12.18,69.08,1.20,28.76,0.02,5.39
25,5,1981,18.63,11.54,76.55,0.65,15.79,0.14,4.52
26,5,1981,19.39,10.95,63.58,1.05,28.47,0.01,5.75
27,5,1981,22.23,10.16,64.52,1.06,30.24,0.00,5.47
28,5,1981,24.35,10.31,65.69,0.95,28.33,0.00,4.63
29,5,1981,23.23,11.60,69.88,0.85,29.84,0.00,3.35
30,5,1981,19.41,14.24,74.71,0.54,19.58,0.01,2.95
31,5,1981,20.83,13.89,85.26,0.69,13.09,0.63,3.82
1,6,1981,19.92,16.11,75.22,1.28,14.07,1.92,6.02
2,6,1981,19.71,14.70,67.84,1.28,20.02,0.55,4.57
3,6,1981,20.01,12.32,70.69,1.39,20.65,0.59,5.00
4,6,1981,23.83,11.26,72.60,1.33,28.85,0.00,3.73
5,6,1981,24.98,14.06,74.12,0.93,29.32,0.00,4.76
6,6,1981,25.49,14.72,75.00,0.71,29.21,0.00,5.28
7,6,1981,23.27,13.20,77.20,0.62,29.06,0.02,3.83
8,6,1981,23.33,18.17,82.78,0.61,16.25,0.39,3.70
9,6,1981,23.38,14.71,67.92,0.76,26.71,0.04,6.27
10,6,1981,27.79,13.61,62.82,0.74,30.61,0.00,6.66
11,6,1981,33.18,14.80,56.59,0.77,30.21,0.00,6.14
12,6,1981,35.83,17.44,53.29,0.79,30.04,0.00,2.61
13,6,1981,36.28,20.51,44.67,0.78,29.48,0.00,3.29
14,6,1981,42.35,22.52,43.84,0.73,27.64,0.01,5.82
15,6,1981,34.83,20.11,45.60,0.70,30.14,0.00,3.63
16,6,1981,31.99,20.19,49.68,0.61,29.64,0.00,4.17
17,6,1981,36.47,21.34,45.49,0.71,29.77,0.00,2.98
18,6,1981,32.88,20.13,56.77,0.58,29.99,0.00,3.20
19,6,1981,31.48,20.02,55.94,0.59,29.88,0.00,3.19
20,6,1981,31.70,18.98,67.71,0.50,28.04,0.09,3.53
21,6,1981,23.21,17.38,78.59,0.66,20.73,0.48,3.90
22,6,1981,25.28,15.97,72.04,0.60,29.56,0.00,4.10
23,6,1981,23.86,16.91,70.09,0.43,22.92,0.02,4.33
24,6,1981,28.61,17.16,61.51,0.54,29.16,0.00,5.33
25,6,1981,29.37,16.36,57.70,0.47,30.45,0.00,8.61
26,6,1981,22.22,15.15,67.06,0.31,26.24,0.00,9.78
27,6,1981,24.86,16.69,62.36,0.50,26.88,0.13,7.32
28,6,1981,26.79,15.91,67.38,0.48,26.11,0.02,4.74
29,6,1981,26.40,16.21,61.91,0.48,29.14,0.00,4.39
30,6,1981,26.90,17.79,64.31,0.46,27.69,0.01,3.05
1,7,1981,23.73,18.20,85.73,0.91,10.12,4.27,3.13
2,7,1981,21.11,16.36,81.02,2.23,14.98,3.09,4.58
3,7,1981,23.10,15.73,67.64,2.43,26.39,0.02,5.61
4,7,1981,25.65,15.81,72.41,1.60,29.30,0.01,6.14
5,7,1981,25.63,15.52,68.30,0.96,30.05,0.00,6.47
6,7,1981,28.49,15.58,67.59,0.64,30.21,0.00,7.49
7,7,1981,27.02,16.16,70.83,0.44,29.69,0.01,6.89
8,7,1981,24.36,15.69,67.81,0.37,29.25,0.00,7.12
9,7,1981,23.13,16.21,64.66,0.40,25.34,0.09,7.99
10,7,1981,29.50,15.37,55.55,0.49,30.12,0.00,8.25
11,7,1981,36.17,16.39,41.71,0.61,30.30,0.01,6.56
12,7,1981,38.04,17.60,37.29,0.60,30.40,0.00,5.80
13,7,1981,35.12,18.95,47.42,0.50,29.65,0.00,4.60
14,7,1981,32.19,20.62,47.91,0.48,29.39,0.00,4.10
15,7,1981,32.50,20.07,53.27,0.46,29.08,0.00,4.09
16,7,1981,34.72,19.97,51.81,0.51,29.07,0.00,4.37
17,7,1981,32.58,18.63,56.77,0.41,29.71,0.00,7.11
18,7,1981,33.56,16.57,42.63,0.45,29.59,0.00,7.89
19,7,1981,37.06,20.96,25.93,0.55,29.78,0.00,6.07
20,7,1981,36.19,19.13,43.73,0.49,29.14,0.00,4.84
21,7,1981,32.61,18.84,52.73,0.43,29.25,0.00,4.23
22,7,1981,27.57,17.11,63.33,0.30,29.35,0.00,9.52
23,7,1981,26.67,16.56,58.95,0.32,29.86,0.00,8.89
24,7,1981,32.06,15.81,49.93,0.41,29.80,0.00,8.40
25,7,1981,33.07,16.03,44.19,0.43,29.55,0.00,6.61
26,7,1981,32.51,17.31,47.08,0.41,27.91,0.00,4.92
27,7,1981,37.48,19.54,47.04,0.48,28.30,0.00,3.89
28,7,1981,38.06,18.87,45.14,0.49,28.56,0.00,2.53
29,7,1981,35.28,19.89,45.80,0.41,25.27,0.20,3.27
30,7,1981,27.56,17.76,65.10,1.02,18.90,1.34,3.83
31,7,1981,23.42,17.88,75.69,0.77,16.32,0.34,5.02
1,8,1981,24.53,18.60,77.10,0.74,17.39,0.50,5.51
2,8,1981,25.89,17.33,69.39,0.61,26.01,0.01,6.13
3,8,1981,33.59,17.02,57.86,0.54,28.09,0.00,5.67
4,8,1981,30.10,19.56,55.94,0.38,27.89,0.00,3.76
5,8,1981,35.97,20.19,53.97,0.45,27.63,0.01,3.94
6,8,1981,33.25,19.67,59.04,0.35,25.82,0.00,4.12
7,8,1981,32.44,18.91,59.85,0.38,27.38,0.00,3.25
8,8,1981,29.84,18.82,69.50,0.29,27.02,0.00,4.82
9,8,1981,27.73,17.73,71.45,0.31,27.03,0.00,2.18
10,8,1981,30.08,18.42,65.05,0.35,27.16,0.01,2.16
11,8,1981,26.77,17.59,78.82,0.30,25.33,0.05,2.83
12,8,1981,29.86,19.31,66.76,0.29,20.05,0.00,2.68
13,8,1981,40.58,21.18,44.43,0.50,24.88,0.00,2.66
14,8,1981,39.66,23.52,35.50,0.54,24.79,0.11,4.11
15,8,1981,33.81,20.91,52.30,0.31,25.75,0.01,4.29
16,8,1981,26.63,19.12,67.72,0.28,26.07,0.01,3.04
17,8,1981,24.46,18.71,75.42,0.26,25.28,0.02,3.73
18,8,1981,25.28,17.22,77.10,0.26,25.87,0.01,3.17
19,8,1981,23.77,19.11,73.71,0.25,21.97,0.07,3.43
20,8,1981,24.23,17.46,73.31,0.26,14.64,0.05,3.99
21,8,1981,24.15,16.93,73.70,0.34,23.60,0.54,2.97
22,8,1981,22.91,18.06,81.90,0.46,14.63,0.14,4.35
23,8,1981,23.89,18.78,82.46,0.69,14.59,0.66,3.06
